risk_id,phase_id,fase,risco,probabilidade,impacto,mitigacao,evidencia
RSK-001,PLAN-EXEC-1409-F00,FASE-00,Leo entrega segredo com prefixo errado e derruba produção de novo,ALTO,ALTO,FORM-ZERO informa o prefixo esperado de cada variável e a fase 1 adiciona validação nominal antes do build,Precedente real: CLERK_WEBHOOK_SECRET sem 'whsec_' parou executar-nf-api
RSK-002,PLAN-EXEC-1409-F00,FASE-00,Conflitos canônicos não resolvidos travam fases 5 e 10,ALTO,ALTO,"As 3 decisões viram tarefa bloqueante da fase 0, não pendência silenciosa",Corpus D20/D12 vs estado live
RSK-003,PLAN-EXEC-1409-F01,FASE-01,Agente continua sem conseguir escrever env var na Vercel,MÉDIO,ALTO,O caminho não é MCP nem curl: é o workflow sync-vercel-env.yml com VERCEL_TOKEN em secret do GitHub — já implementado e mergeado no PR #21,5 sessões falharam por MCP read-only e credencial de proxy rejeitada
RSK-004,PLAN-EXEC-1409-F01,FASE-01,Vercel não promove build que falha e o alias de produção serve binário antigo,MÉDIO,ALTO,"Verificação de READY por projeto é critério de gate, não suposição de que o merge publicou",Produção da api serviu o binário do PR #15 por 4 merges
RSK-005,PLAN-EXEC-1409-F04,FASE-04,Compra de domínio é irreversível e gasta dinheiro real,BAIXO,MÉDIO,Nome e preço aprovados na fase 0; compra só executa com DEC-003 registrada,
RSK-006,PLAN-EXEC-1409-F05,FASE-05,Migração de Neon para AWS depois do lançamento custa muito mais,MÉDIO,ALTO,DEC-002 força a decisão antes de qualquer dado de usuário real entrar,
RSK-007,PLAN-EXEC-1409-F06,FASE-06,KYC da Stripe não aprova a tempo,MÉDIO,MÉDIO,"Fase 6 entrega checkout test-mode completo como caminho verde; livemode é tarefa A2 destacada, não bloqueio do lançamento",
RSK-008,PLAN-EXEC-1409-F09,FASE-09,Copiloto executa ação destrutiva sobre dados reais do usuário,BAIXO,CRÍTICO,Handoff auditável + desfazer obrigatório + gate de evals 100% incluindo casos adversariais antes de qualquer escrita,
RSK-009,PLAN-EXEC-1409-F10,FASE-10,Cron 1x/dia degrada a proposta de valor do EXECUTAR Rotina,ALTO,MÉDIO,Registrado como limitação explícita de plano com reversão documentada no código; decisão de upgrade em DEC-003,Plano Hobby rejeita cron mais frequente que diário
RSK-010,PLAN-EXEC-1409-F11,FASE-11,Revisão das lojas rejeita por metadado ou política,MÉDIO,MÉDIO,"Metadados gerados a partir do app real e checados contra as diretrizes antes de submeter; rejeição vira iteração da fase 11, não bloqueio do lançamento web",
RSK-011,PLAN-EXEC-1409-F12,FASE-12,Baseline de 306 advisories de dependência entra em produção,MÉDIO,MÉDIO,"Auditoria segue informativa, mas as críticas que afetam runtime de produção viram tarefa nomeada antes do corte",QUALITY_GATES.md declara o baseline
RSK-012,PLAN-EXEC-1409-F12,FASE-12,Estouro de contexto entre sessões perde o plano,ALTO,ALTO,PLAN/state.json + GATE_LOG.md no repositório permitem retomada por qualquer sessão,Precedente real: commit 7ab7b90
