task_id,phase_id,fase,seq,titulo,tipo,automation_level,entrada,criterio_aceite,evidencia,bloqueante,status
PLAN-EXEC-1409-F00-T01,PLAN-EXEC-1409-F00,FASE-00,1,Emitir formulário único de insumos humanos (FORM-ZERO),PREP,A4,Contrato de env (56 vars) + checklist §9 do LAUNCH_RUNBOOK + requisitos de loja,"Formulário entregue com TODOS os campos que Leo precisa preencher, agrupados por sistema, com instrução de onde obter cada valor",00-PROMPT/FORM-ZERO.md,YES,PLANNED
PLAN-EXEC-1409-F00-T02,PLAN-EXEC-1409-F00,FASE-00,2,Gravar GitHub Actions Secrets obrigatórios,CONFIG,A2,Valores do FORM-ZERO,"gh secret list retorna VERCEL_TOKEN, DATABASE_URL, RESEND_TOKEN, RESEND_FROM, CLERK_WEBHOOK_SECRET, NEON_API_KEY, EXPO_TOKEN",Saída de `gh secret list`,YES,PLANNED
PLAN-EXEC-1409-F00-T03,PLAN-EXEC-1409-F00,FASE-00,3,Gravar GitHub Actions Variables,CONFIG,A2,IDs já conhecidos,"gh variable list retorna NEON_PROJECT_ID=snowy-dawn-65785764, VERCEL_ORG_ID=team_fJe21quDM0egDSTPE0CFwNnm, EAS_PROJECT_CONFIGURED",Saída de `gh variable list`,YES,PLANNED
PLAN-EXEC-1409-F00-T04,PLAN-EXEC-1409-F00,FASE-00,4,Resolver DEC-001 — repositório canônico,DECISION,A1,Conflito: corpus D20 aprova Sas-Executar/Sas-Executar; live roda em Sas-Executar/01-Executar-Echo,Decisão registrada com justificativa e impacto nos 7 projetos Vercel existentes,DECISION_LOG.md DEC-001,YES,PLANNED
PLAN-EXEC-1409-F00-T05,PLAN-EXEC-1409-F00,FASE-00,5,Resolver DEC-002 — arquitetura de dados persistente,DECISION,A1,Conflito: corpus aprova AWS Aurora sa-east-1 privado; live roda Neon aws-us-east-2 com 30 tabelas e RLS,"Decisão registrada; se mantiver Neon, o registro de arquitetura aprovada é atualizado e a transferência internacional segue declarada no aviso LGPD",DECISION_LOG.md DEC-002,YES,PLANNED
PLAN-EXEC-1409-F00-T06,PLAN-EXEC-1409-F00,FASE-00,6,Resolver DEC-003 — domínio e plano Vercel,DECISION,A1,Plano atual é Hobby (limita cron a 1x/dia e força SSO em *.vercel.app); domínio não existe,Nome de domínio escolhido + autorização de compra + decisão sobre upgrade para Pro,DECISION_LOG.md DEC-003,YES,PLANNED
PLAN-EXEC-1409-F00-T07,PLAN-EXEC-1409-F00,FASE-00,7,Coletar dados pessoais e fiscais para submissão às lojas,PREP,A2,Requisitos de App Store Connect e Google Play Console,"Nome legal, endereço, documento, telefone de suporte, e-mail de suporte, URL de política de privacidade e conta de desenvolvedor de cada loja disponíveis para uso nas fases 6 e 11",FORM-ZERO seção Lojas,YES,PLANNED
PLAN-EXEC-1409-F00-T08,PLAN-EXEC-1409-F00,FASE-00,8,Registrar autorização de auto-PR e política de gates,GOVERNANCE,A4,Instrução do 14-09.md item 15a,AUTHORIZATIONS.md registra: auto-PR ao fim de cada fase autorizado; parada obrigatória ao fim de cada gate; nenhuma ação irreversível sem decisão registrada,AUTHORIZATIONS.md,NO,PLANNED
PLAN-EXEC-1409-F01-T01,PLAN-EXEC-1409-F01,FASE-01,1,Implementar preflight de env com falha nominal,CODE,A4,"packages/*/keys.ts (56 vars, 16 com prefixo obrigatório)","Build que falta variável falha citando o NOME da variável, o prefixo esperado e o app afetado — não 'Invalid environment variables'",Log de build da Vercel,YES,PLANNED
PLAN-EXEC-1409-F01-T02,PLAN-EXEC-1409-F01,FASE-01,2,Blindar as 16 variáveis com prefixo contra valor inválido,CODE,A4,Evidência: CLERK_WEBHOOK_SECRET sem 'whsec_' derrubou produção da api,"Variável opcional preenchida com prefixo errado produz erro de configuração identificável, não quebra global do build",Teste de regressão no repositório,YES,PLANNED
PLAN-EXEC-1409-F01-T03,PLAN-EXEC-1409-F01,FASE-01,3,Executar sync-vercel-env.yml para os 3 projetos,DEPLOY,A4,Secrets da FASE-00,"Workflow verde para web, app e api; cada variável sincronizada nos targets corretos",Run do GitHub Actions,YES,PLANNED
PLAN-EXEC-1409-F01-T04,PLAN-EXEC-1409-F01,FASE-01,4,Redeploy de produção e verificação READY,DEPLOY,A4,main na cabeça,Os 3 projetos com readyState=READY e target=production no mesmo commit,get_project de cada projeto,YES,PLANNED
PLAN-EXEC-1409-F01-T05,PLAN-EXEC-1409-F01,FASE-01,5,Documentar o contrato de env como fonte única,DOC,A4,CONTRATO-ENV.csv,"INFRASTRUCTURE.md substituído por tabela gerada do código, com verificação automática de drift no ci.yml",PR + job de CI,NO,PLANNED
PLAN-EXEC-1409-F02-T01,PLAN-EXEC-1409-F02,FASE-02,1,Criar PLAN/ registry versionado,CODE,A4,Matriz do plano,"PLAN/plan.json, PLAN/state.json e PLAN/schema.json no repositório, validados em CI",Job de CI,YES,PLANNED
PLAN-EXEC-1409-F02-T02,PLAN-EXEC-1409-F02,FASE-02,2,Criar GATE_LOG.md append-only,CODE,A4,Protocolo de gates,"Cada gate encerrado grava fase, commit, PR, evidência, modelo e esforço usados",GATE_LOG.md,YES,PLANNED
PLAN-EXEC-1409-F02-T03,PLAN-EXEC-1409-F02,FASE-02,3,Configurar agente runner e README de rastreio,CODE,A3,AGENTS.md existente,Sessão nova lê PLAN/state.json + GATE_LOG.md e retoma sem contexto conversacional,README de rastreio,YES,PLANNED
PLAN-EXEC-1409-F02-T04,PLAN-EXEC-1409-F02,FASE-02,4,Protocolo de encerramento de fase com auto-PR,CODE,A4,AUTHORIZATIONS.md,"Ao fim de cada fase: commit, PR aberto, state.json atualizado, issue Linear movida — em uma única sequência",PR da própria fase,YES,PLANNED
PLAN-EXEC-1409-F03-T01,PLAN-EXEC-1409-F03,FASE-03,1,Criar projeto e ciclos no Linear a partir da matriz,INTEGRATION,A4,MATRIZ-PLANO.xlsx,"Um projeto Linear por fase, com data e descrição 3P",Linear MCP,YES,PLANNED
PLAN-EXEC-1409-F03-T02,PLAN-EXEC-1409-F03,FASE-03,2,Criar issues espelhando os IDs de tarefa,INTEGRATION,A4,CSVs por fase,Toda tarefa tem issue com o mesmo ID; nenhum ID duplicado ou ausente,Contagem CSV vs Linear,YES,PLANNED
PLAN-EXEC-1409-F03-T03,PLAN-EXEC-1409-F03,FASE-03,3,Validar sincronização da pasta EXECUTAR LINEAR MATRIX no Drive,INTEGRATION,A3,Pasta do Drive,"Se a sincronização refletir o plano, manter; se não, popular direto via MCP e registrar que a pasta não sincroniza",Evidência comparativa,NO,PLANNED
PLAN-EXEC-1409-F03-T04,PLAN-EXEC-1409-F03,FASE-03,4,Ligar encerramento de gate à mudança de status no Linear,INTEGRATION,A4,Protocolo da fase 2,Encerrar gate move issue para Done com link do PR,Issue Linear,YES,PLANNED
PLAN-EXEC-1409-F04-T01,PLAN-EXEC-1409-F04,FASE-04,1,Comprar domínio e configurar DNS,INFRA,A2,DEC-003,Domínio adquirido e resolvendo,Vercel domains,YES,PLANNED
PLAN-EXEC-1409-F04-T02,PLAN-EXEC-1409-F04,FASE-04,2,Anexar domínio aos 3 projetos,INFRA,A4,Domínio ativo,"web, app e api servindo pelo domínio próprio com TLS",curl -I,YES,PLANNED
PLAN-EXEC-1409-F04-T03,PLAN-EXEC-1409-F04,FASE-04,3,Migrar Clerk para instância de produção,CONFIG,A2,Credenciais do FORM-ZERO,Chaves de produção em uso; instância de desenvolvimento fora de produção,Clerk dashboard + build,YES,PLANNED
PLAN-EXEC-1409-F04-T04,PLAN-EXEC-1409-F04,FASE-04,4,Desligar SSO Protection e validar webhook Clerk real,CONFIG,A3,Domínio custom ativo,SSO desligado; entrega real do Clerk registrada no log da api com assinatura válida,Runtime log da api,YES,PLANNED
PLAN-EXEC-1409-F05-T01,PLAN-EXEC-1409-F05,FASE-05,1,Aplicar decisão DEC-002 e reconciliar registro de arquitetura,DOC,A4,DEC-002,Registro de arquitetura aprovada coerente com o que roda de fato,PR,YES,PLANNED
PLAN-EXEC-1409-F05-T02,PLAN-EXEC-1409-F05,FASE-05,2,Rodar migrate deploy contra produção,DATA,A4,DATABASE_URL,Migrations aplicadas sem conflito; _prisma_migrations consistente,Neon MCP,YES,PLANNED
PLAN-EXEC-1409-F05-T03,PLAN-EXEC-1409-F05,FASE-05,3,Executar suíte RLS real (89 testes),TEST,A4,DATABASE_URL exportado,89 testes executam e passam — não pulam,Saída de teste,YES,PLANNED
PLAN-EXEC-1409-F05-T04,PLAN-EXEC-1409-F05,FASE-05,4,Validar preview-db.yml em PR real,TEST,A4,NEON_API_KEY,"Branch criado e destruído por PR, com database 'executar'",Run do Actions,YES,PLANNED
PLAN-EXEC-1409-F06-T01,PLAN-EXEC-1409-F06,FASE-06,1,Recriar produtos e preços em livemode,BILLING,A2,KYC aprovado,6 preços replicados em livemode com os mesmos lookup_key,Stripe API,NO,PLANNED
PLAN-EXEC-1409-F06-T02,PLAN-EXEC-1409-F06,FASE-06,2,Revalidar webhook de pagamentos,BILLING,A4,STRIPE_WEBHOOK_SECRET,7 tipos de evento entregues e processados,Stripe events,YES,PLANNED
PLAN-EXEC-1409-F06-T03,PLAN-EXEC-1409-F06,FASE-06,3,Finalizar textos legais LGPD,CONTENT,A3,packages/cms/content/legal,"Termos e Privacidade completos, com subprocessadores reais e transferência internacional declarada",PR + páginas publicadas,YES,PLANNED
PLAN-EXEC-1409-F06-T04,PLAN-EXEC-1409-F06,FASE-06,4,Testar round-trip de exportação e exclusão LGPD,TEST,A4,Workspace real,Export gera arquivo completo; delete remove dado e mantém trilha,Evidência de execução,YES,PLANNED
PLAN-EXEC-1409-F07-T01,PLAN-EXEC-1409-F07,FASE-07,1,Publicar rotas públicas de apps/web,CODE,A4,6 rotas do índice,Todas respondem 200 no domínio próprio,curl + Playwright,YES,PLANNED
PLAN-EXEC-1409-F07-T02,PLAN-EXEC-1409-F07,FASE-07,2,Implementar camada Quick Frameworks e deep links,CODE,A3,Briefing §23-24,Conceito citado em artigo abre explicação estruturada sem sair do artigo,Página real,NO,PLANNED
PLAN-EXEC-1409-F07-T03,PLAN-EXEC-1409-F07,FASE-07,3,Implementar carrossel vertical de storyboard no topo do artigo,CODE,A3,Briefing §25,Artigo exibe storyboard visual navegável,Página real,NO,PLANNED
PLAN-EXEC-1409-F07-T04,PLAN-EXEC-1409-F07,FASE-07,4,"SEO, sitemap e i18n",CODE,A4,next-config + internationalization,sitemap.xml válido; hreflang correto; Lighthouse ≥90 perf e a11y na home,Relatório Lighthouse,YES,PLANNED
PLAN-EXEC-1409-F08-T01,PLAN-EXEC-1409-F08,FASE-08,1,Validar jornada de autenticação ponta a ponta,TEST,A4,Clerk produção,sign-in e sign-up reais criam workspace,Playwright autenticado,YES,PLANNED
PLAN-EXEC-1409-F08-T02,PLAN-EXEC-1409-F08,FASE-08,2,Completar e validar Mapa OS,CODE,A4,packages/mapa-os,Mapa OS renderiza estado real (agora/próximo/depois/bloqueado) a partir do banco,E2E + captura,YES,PLANNED
PLAN-EXEC-1409-F08-T03,PLAN-EXEC-1409-F08,FASE-08,3,Implementar impressão do Mapa OS,CODE,A3,Briefing §5,Mapa OS gera versão impressa fiel ao estado digital,PDF gerado,YES,PLANNED
PLAN-EXEC-1409-F08-T04,PLAN-EXEC-1409-F08,FASE-08,4,"Validar Projetos, Agora/Hoje/Amanhã e Relatórios",CODE,A4,25 rotas autenticadas,Jornada núcleo completa sem erro de runtime,E2E,YES,PLANNED
PLAN-EXEC-1409-F08-T05,PLAN-EXEC-1409-F08,FASE-08,5,Zerar erros de runtime em produção,FIX,A4,get_runtime_errors,Nenhum cluster de erro nas rotas núcleo em 24h,Vercel runtime errors,YES,PLANNED
PLAN-EXEC-1409-F09-T01,PLAN-EXEC-1409-F09,FASE-09,1,Implementar runtime de agentes contra o contrato de handoff,CODE,A3,packages/agent-runtime,Handoff tipado e auditável executando de ponta a ponta,Teste + trilha,YES,PLANNED
PLAN-EXEC-1409-F09-T02,PLAN-EXEC-1409-F09,FASE-09,2,"Popular registry de agentes, skills e tools",CODE,A3,Blueprint multi-agent,Registry sem campos vazios para os agentes em uso,Registry versionado,YES,PLANNED
PLAN-EXEC-1409-F09-T03,PLAN-EXEC-1409-F09,FASE-09,3,Expor e validar /mcp contra o contrato MCP Skill V2.1,CODE,A3,packages/mcp,Cliente MCP externo lista e executa as tools declaradas,Sessão MCP real,YES,PLANNED
PLAN-EXEC-1409-F09-T04,PLAN-EXEC-1409-F09,FASE-09,4,Ampliar dataset de evals e ligar gate 100%,TEST,A4,evals/ (18 casos),"Dataset ampliado; gate bloqueante em datasets, adversarial e regression",ci.yml,YES,PLANNED
PLAN-EXEC-1409-F09-T05,PLAN-EXEC-1409-F09,FASE-09,5,Executar comando real do Copiloto sobre backlog,TEST,A4,Copiloto + banco real,Comando altera estado real com trilha de auditoria e desfazer,Evidência no banco,YES,PLANNED
PLAN-EXEC-1409-F10-T01,PLAN-EXEC-1409-F10,FASE-10,1,Fechar decisão técnica do Scanner,DECISION,A2,Conflito OCR vs DINOv2/ONNX,"Decisão registrada com base em evidência de custo, latência e viabilidade on-device",DECISION_LOG DEC-004,YES,PLANNED
PLAN-EXEC-1409-F10-T02,PLAN-EXEC-1409-F10,FASE-10,2,"Implementar scanner dispatch, symbols e undo",CODE,A3,3 rotas de api já existentes,Símbolo escaneado dispara ação real e é reversível,E2E,YES,PLANNED
PLAN-EXEC-1409-F10-T03,PLAN-EXEC-1409-F10,FASE-10,3,Ligar integrações autorizadas (WhatsApp/Gmail/Outlook),INTEGRATION,A3,Credenciais do FORM-ZERO,Webhook de cada canal autorizado entrega 200 com assinatura válida,Log da api,YES,PLANNED
PLAN-EXEC-1409-F10-T04,PLAN-EXEC-1409-F10,FASE-10,4,Validar rotina diária e registrar degradação do cron,CODE,A4,Plano Hobby = 1x/dia,"Rotina executa e entrega resumo; a limitação está registrada como item de upgrade, não escondida",Execução + registro,YES,PLANNED
PLAN-EXEC-1409-F11-T01,PLAN-EXEC-1409-F11,FASE-11,1,Inicializar EAS e gravar projectId,INFRA,A2,EXPO_TOKEN válido,extra.eas.projectId preenchido em apps/mobile/app.json,app.json,YES,PLANNED
PLAN-EXEC-1409-F11-T02,PLAN-EXEC-1409-F11,FASE-11,2,Gerar builds de produção iOS e Android,BUILD,A3,EAS configurado,Dois builds de produção concluídos,EAS build,YES,PLANNED
PLAN-EXEC-1409-F11-T03,PLAN-EXEC-1409-F11,FASE-11,3,"Produzir metadados, capturas e textos das lojas",CONTENT,A4,App real rodando,"Todas as capturas, ícones, descrições, palavras-chave e classificação etária gerados — nenhum campo deixado para Leo",Pacote de submissão,YES,PLANNED
PLAN-EXEC-1409-F11-T04,PLAN-EXEC-1409-F11,FASE-11,4,Submeter às duas lojas,SUBMIT,A2,Contas de desenvolvedor,Submissão aceita e em revisão nas duas lojas,Status das lojas,YES,PLANNED
PLAN-EXEC-1409-F12-T01,PLAN-EXEC-1409-F12,FASE-12,1,Promover build e E2E a gates bloqueantes,CI,A4,QUALITY_GATES.md,ci.yml falha o PR quando build ou E2E quebram,ci.yml + PR de teste,YES,PLANNED
PLAN-EXEC-1409-F12-T02,PLAN-EXEC-1409-F12,FASE-12,2,"Ligar observabilidade (Sentry, BetterStack)",INFRA,A3,Chaves do FORM-ZERO,Erro real aparece no painel em menos de 5 minutos,Alerta recebido,YES,PLANNED
PLAN-EXEC-1409-F12-T03,PLAN-EXEC-1409-F12,FASE-12,3,Executar smoke sequence completa,TEST,A4,LAUNCH_RUNBOOK §10,Os 4 passos da smoke sequence executados e registrados,GATE_LOG,YES,PLANNED
PLAN-EXEC-1409-F12-T04,PLAN-EXEC-1409-F12,FASE-12,4,Testar rollback uma vez,TEST,A4,Deploy anterior READY,"Rollback executado e revertido, com tempo medido",Evidência Vercel,YES,PLANNED
PLAN-EXEC-1409-F12-T05,PLAN-EXEC-1409-F12,FASE-12,5,Corte público e handoff final,RELEASE,A2,Todos os gates verdes,"Ecossistema público; Leo testa, navega e usa; relatório final no Linear",Aprovação de Leo,YES,PLANNED
