evidence_id,claim_id,evidence_class,epistemic_class,authorized_statement,source,interpretation_limit,status,source_ref
EVD-01,CLAIM-01,FW,D,"Fatores isolados não equivalem automaticamente a risco; objetivo, contexto e exposição precisam ser considerados.",SCHEMA_RC_KNOWLEDGE_TO_ASSET_V1.yaml,Não dizer que cada fator é um risco.,FRAMEWORK_GOVERNED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-02,CLAIM-02,E1,B,A memória de trabalho tem capacidade limitada; mais informação disponível não amplia proporcionalmente manutenção/manipulação simultânea.,Luck & Vogel (memória de trabalho visual),Não generalizar para 'o cérebro só processa quatro informações'.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-03,CLAIM-03,E2+S,C,Quantidade e forma de apresentação são dimensões diferentes; organização pode modificar esforço para localizar e usar informação.,W3C Cognitive Accessibility; evidência aplicada sobre clutter,Não afirmar que hierarquia visual sempre reduz carga.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-04,CLAIM-04,E2,B,"Informar previamente etapas, recursos, processo e próximos passos reduz estrutura a reconstruir durante a tarefa.",W3C — Task Expectations,"A fórmula de escrita de tarefas do projeto é regra operacional, não lei científica.",AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-05,CLAIM-05,E2,B,Caminhos críticos mais curtos e sem etapas opcionais desnecessárias podem reduzir fricção.,W3C — Make Short Critical Paths,Não afirmar que menos etapas é sempre melhor.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-06,CLAIM-06,E1,B,Alternar conjuntos de regras pode produzir custos mensuráveis de desempenho.,Rogers & Monsell,Não usar linguagem de dano cerebral ou tempo universal de recuperação.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-07,CLAIM-07,E2+S,C,Interrupções podem deslocar foco e dificultar manutenção/recuperação do contexto da tarefa.,W3C; literatura de interrupção/retomada,"Efeito varia por pessoa, tarefa e tipo de interrupção.",AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-08,CLAIM-08,E1,B,Lembretes e recursos externos podem sustentar intenções futuras e reduzir dependência exclusiva de memória interna.,Gilbert — strategic offloading/reminders,Externalização não elimina esquecimentos.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-09,CLAIM-09,E2+S,C,"Ambiente digital pode apoiar execução ou adicionar interrupções, conteúdo concorrente e reorientação.","W3C — foco, interrupções e conteúdo manejável",Não generalizar que tecnologia aumenta carga cognitiva.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-10,CLAIM-10,E2,B,"Carga mental também é influenciada pelo desenho da tarefa, equipamentos, ambiente e fatores sociais/organizacionais.",ISO 10075-2:2024,"A norma sustenta componentes, não valida o framework completo.",AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-11,CLAIM-11,S,C,Múltiplas pequenas demandas podem coexistir e formar um problema sistêmico.,Síntese compatível com ISO 10075-2,Não afirmar relação linear/aditiva específica sem dados.,AUTHORIZED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-12,CLAIM-12,FW,D,O framework propõe Objetivo → Contexto → Demanda → Vulnerabilidade → Exposição → Risco → Evento/Impacto.,Documentos metodológicos do projeto,Identificar explicitamente como framework proprietário.,FRAMEWORK_GOVERNED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
EVD-13,CLAIM-13,FW,D,Cadeia de desvalor cognitivo descreve acúmulo de barreiras/demandas evitáveis que deslocam esforço para administrar o sistema.,Framework proprietário,Não apresentar como categoria científica estabelecida.,FRAMEWORK_GOVERNED,RC-KNW-001 · TP-001.AUTHORIZED_CLAIMS.V1 / EVIDENCE_MATRIX
