phase_id,fase,total_fases,nome,titulo_operacional,model,mode,effort,justificativa_parametros,jtbd,problema,processo,progresso,gate,depends_on,blocks,status
PLAN-EXEC-1409-F00,FASE-00,12,"Fase Zero — Insumos, Segredos e Decisões Humanas","PLAN-EXEC-1409-F00 — FASE_00/12 [Fase Zero — Insumos, Segredos e Decisões Humanas] — USAR: OPUS · plan mode · esforço HIGH",OPUS,plan mode,HIGH,"Opus + plan mode + HIGH: é a única fase que define a topologia de todo o resto; erro aqui propaga para 12 fases. Exige leitura cruzada de corpus, repositório e estado live, e decisões irreversíveis (domínio, repositório canônico, arquitetura de dados).","Como Leo, quero entregar de uma só vez tudo que só eu posso entregar, para que nenhuma fase seguinte pare por minha causa.",Projetos Vercel ativos sem env vars válidas; produção de web nunca subiu; api quebrada por segredo com prefixo inválido; nenhuma sessão de agente consegue escrever env var na Vercel nem secret no GitHub.,"Coletar segredos e decisões em UM formulário único, gravar como GitHub Actions Secrets/Variables, resolver os 3 conflitos canônicos abertos e autorizar o modo de execução por gates.",Secrets presentes no repositório + decisões registradas em DECISION_LOG.md + autorização de auto-PR registrada.,GATE-00: `gh secret list` retorna os 7 secrets obrigatórios; `gh variable list` retorna as 3 variables; DECISION_LOG.md contém DEC-001..DEC-003 resolvidas.,,FASE-01,PLANNED
PLAN-EXEC-1409-F01,FASE-01,12,Desbloqueio de Build — Contrato de Env à Prova de Falha,PLAN-EXEC-1409-F01 — FASE_01/12 [Desbloqueio de Build — Contrato de Env à Prova de Falha] — USAR: OPUS · plan mode · esforço HIGH,OPUS,plan mode,HIGH,Opus + HIGH: é diagnóstico de causa raiz em cadeia (t3-env + Turborepo + Vercel build env + Next.js env precedence) com histórico de 5 sessões anteriores que falharam. Plan mode porque a correção toca o contrato compartilhado de todos os apps.,"Como Leo, quero que os três projetos Vercel construam e publiquem em produção sem eu tocar em painel nenhum.",16 variáveis opcionais com `.startsWith()` viram bloqueantes de build quando preenchidas com valor errado — foi exatamente isso que derrubou executar-nf-api. E 3 variáveis são obrigatórias sem fallback.,"Endurecer o contrato de env (preflight que falha com nome da variável e prefixo esperado, não 'Invalid environment variables'), rodar sync-vercel-env.yml, redeploy de produção dos 3 projetos, verificar READY.","Produção READY em executar-nf-web, executar-nf-app e executar-nf-api no mesmo commit de main.",GATE-01: os 3 projetos com latestDeployment.readyState=READY e target=production; `/health` da api responde 200 sem SSO; preflight falha com mensagem nominal quando uma var obrigatória some.,FASE-00,"FASE-02,FASE-04,FASE-05",PLANNED
PLAN-EXEC-1409-F02,FASE-02,12,"Governança de Execução — Registro, Runner e Retomada","PLAN-EXEC-1409-F02 — FASE_02/12 [Governança de Execução — Registro, Runner e Retomada] — USAR: SONNET · normal · esforço MEDIUM",SONNET,normal,MEDIUM,"Sonnet + MEDIUM: é implementação de estrutura conhecida (arquivos, workflow, schema JSON), sem decisão arquitetural aberta. Opus aqui seria overkill e adiciona latência.","Como Leo, quero que qualquer sessão nova assuma de onde a anterior parou, sem eu reexplicar nada.","O plano aprovado vivia apenas no arquivo local de plan mode de uma sessão; ao estourar contexto, o plano se perdeu (evidência: commit 7ab7b90).","Criar PLAN/ registry no repositório (plano, fases, estado), GATE_LOG.md append-only, agente runner + README de rastreio, e o protocolo de encerramento de fase (commit + PR + atualização de estado).",PLAN/ versionado no repo com estado de cada fase legível por máquina.,GATE-02: PLAN/state.json válido contra PLAN/schema.json; GATE_LOG.md com entrada de GATE-00 e GATE-01; runner documentado no README.,FASE-01,FASE-03,PLANNED
PLAN-EXEC-1409-F03,FASE-03,12,Linear como Entry Point Único de Controle,PLAN-EXEC-1409-F03 — FASE_03/12 [Linear como Entry Point Único de Controle] — USAR: SONNET · normal · esforço MEDIUM,SONNET,normal,MEDIUM,Sonnet + MEDIUM: trabalho de integração via MCP com schema já definido na fase 2. Sem ambiguidade de design.,"Como Leo, quero abrir o Linear e ver exatamente em que fase você está, sem entrar no GitHub ou na Vercel.",O workspace Linear tem 1 time e 1 projeto de campanha editorial; nenhum item do plano técnico existe lá. Hoje o único lugar com o estado real é o log de commits.,"Popular o Linear a partir da matriz (projeto por fase, issue por tarefa, ciclos semanais), validar se a pasta do Drive sincronizou, e ligar o encerramento de gate à mudança de status no Linear.","Uma issue Linear por tarefa do plano, com ID espelhado no CSV e link para o commit/PR que a encerrou.",GATE-03: toda tarefa do CSV tem issue Linear correspondente; encerrar uma fase move a issue para Done automaticamente; Leo confirma visualmente no app.,FASE-02,,PLANNED
PLAN-EXEC-1409-F04,FASE-04,12,"Identidade — Domínio, DNS, Clerk Produção e Fim do SSO","PLAN-EXEC-1409-F04 — FASE_04/12 [Identidade — Domínio, DNS, Clerk Produção e Fim do SSO] — USAR: OPUS · plan mode · esforço HIGH",OPUS,plan mode,HIGH,"Opus + plan mode + HIGH: envolve compra irreversível, mudança de DNS e migração de provedor de identidade — a ordem das operações importa e um erro derruba o que a fase 1 estabilizou.","Como Leo, quero que o ecossistema tenha endereço próprio e login real, não URLs *.vercel.app protegidas por SSO.",SSO Protection está ligado em executar-nf-api para todos os domínios exceto customizados — e não existe domínio customizado. Isso bloqueia até o webhook do Clerk. O Clerk roda instância de desenvolvimento em produção.,"Comprar domínio via conector Vercel, configurar DNS, anexar aos 3 projetos, migrar Clerk para instância de produção, apontar webhooks, desligar SSO por ter domínio custom.",Domínio próprio servindo web/app/api; login real; webhook do Clerk entregando 200.,GATE-04: domínio resolve nos 3 apps; SSO desligado; entrega real de webhook Clerk registrada em log da api (não só self-test local).,FASE-01,"FASE-06,FASE-07",PLANNED
PLAN-EXEC-1409-F05,FASE-05,12,"Dados — Neon Produção, Migrations, RLS e Preview Branches","PLAN-EXEC-1409-F05 — FASE_05/12 [Dados — Neon Produção, Migrations, RLS e Preview Branches] — USAR: SONNET · normal · esforço HIGH",SONNET,normal,HIGH,Sonnet + HIGH: execução conhecida (Prisma + Neon MCP) mas volume alto de verificação e risco de dado. Esforço alto pela quantidade de asserções; Opus desnecessário pois a decisão arquitetural já foi tomada na fase 0.,"Como Leo, quero saber que os dados dos usuários estão isolados e que cada PR testa contra um banco real.","Conflito aberto: o corpus aprova AWS Aurora sa-east-1 como arquitetura persistente, o live roda Neon em aws-us-east-2. Além disso preview-db.yml só passou a funcionar após correção recente e a suíte de RLS (89 testes) pula quando DATABASE_URL está ausente.","Resolver o conflito por decisão registrada, rodar migrate deploy contra produção, executar a suíte RLS real, validar branch por PR.",89 testes de RLS executando (não pulando) contra o banco real; preview branch criado e destruído por PR.,GATE-05: `bun run test` com DATABASE_URL exportado reporta 89 testes RLS passando; preview-db.yml verde em um PR real.,FASE-01,"FASE-06,FASE-08",PLANNED
PLAN-EXEC-1409-F06,FASE-06,12,Receita e Conformidade — Stripe Live e LGPD,PLAN-EXEC-1409-F06 — FASE_06/12 [Receita e Conformidade — Stripe Live e LGPD] — USAR: SONNET · normal · esforço MEDIUM,SONNET,normal,MEDIUM,Sonnet + MEDIUM: caminho já trilhado em test mode; a fase é replicação controlada + redação. A parte irreversível (KYC) é humana e foi antecipada na fase 0.,"Como Leo, quero poder receber pagamento de verdade e não ter passivo jurídico no lançamento.",Stripe está em test mode (6 preços criados); live depende de KYC que só Leo faz. Termos e Privacidade em packages/cms/content/legal são rascunhos e o próprio runbook os marca como CONTENT_GAP.,"Recriar produtos/preços em livemode após ativação, revalidar webhook de pagamentos, finalizar textos legais LGPD e o round-trip de exportação/exclusão de dados.",Checkout live funcional ponta a ponta + páginas legais publicadas + export/delete LGPD testado.,"GATE-06: um checkout test-mode completo ponta a ponta; se KYC aprovado na fase 0, um checkout live de valor mínimo; export e delete LGPD executados contra workspace real.","FASE-04,FASE-05",FASE-08,PLANNED
PLAN-EXEC-1409-F07,FASE-07,12,"EXECUTAR Web — Site Público, Blog, Pricing e SEO","PLAN-EXEC-1409-F07 — FASE_07/12 [EXECUTAR Web — Site Público, Blog, Pricing e SEO] — USAR: SONNET · normal · esforço MEDIUM",SONNET,normal,MEDIUM,"Sonnet + MEDIUM: implementação de front-end sobre estrutura existente, com critérios verificáveis por HTTP. Sem decisão arquitetural nova.","Como Leo, quero que quem chegar pelo conteúdo encontre um site que explica o ecossistema e converte.","apps/web tem 6 rotas e conteúdo MDX local; nunca teve build de produção verde, então nada disso está publicado.","Publicar home, blog, pricing, contato e legal; aplicar i18n; implementar a camada de Quick Frameworks e deep links prevista no briefing; SEO e sitemap.","Site público navegável no domínio próprio, indexável, com as rotas do índice respondendo 200.",GATE-07: todas as rotas de apps/web respondem 200 no domínio próprio; Lighthouse ≥ 90 em performance e acessibilidade na home; sitemap.xml válido.,FASE-04,FASE-12,PLANNED
PLAN-EXEC-1409-F08,FASE-08,12,"EXECUTAR App — Mapa OS, Now, Projetos e Relatórios","PLAN-EXEC-1409-F08 — FASE_08/12 [EXECUTAR App — Mapa OS, Now, Projetos e Relatórios] — USAR: OPUS · normal · esforço HIGH",OPUS,normal,HIGH,Opus + HIGH: é o núcleo do produto e a parte com mais lógica de domínio e estado; qualidade aqui define se o app é usável. Sem plan mode porque a fase 0 e o Blueprint já fixaram o escopo.,"Como Leo, quero abrir o app e usar de verdade o Mapa OS e o Agora/Próximo/Depois, porque é isso que prova a tese do produto.","apps/app tem 25 rotas autenticadas e os pacotes mapa-os, reports, domain existem — mas nada foi validado contra banco real com usuário real, porque produção nunca ficou verde junto com auth.","Validar e completar as jornadas núcleo (Mapa OS, Agora/Hoje/Amanhã, Projetos, Relatórios, impressão do Mapa OS), com teste de ponta a ponta autenticado.",Jornada completa: login → criar projeto → ver no Mapa OS → gerar relatório → imprimir.,GATE-08: Playwright autenticado cobre a jornada núcleo ponta a ponta contra a URL real; Mapa OS renderiza e imprime a partir de dados reais.,"FASE-05,FASE-06","FASE-09,FASE-11",PLANNED
PLAN-EXEC-1409-F09,FASE-09,12,"Copiloto e Agent Runtime — MCP, Handoffs e Evals","PLAN-EXEC-1409-F09 — FASE_09/12 [Copiloto e Agent Runtime — MCP, Handoffs e Evals] — USAR: OPUS · plan mode · esforço HIGH",OPUS,plan mode,HIGH,"Opus + plan mode + HIGH: maior densidade de decisão arquitetural aberta do plano (orquestrador, políticas, estado, ferramentas) e é onde erro silencioso é mais caro, porque o agente age sobre dados do usuário.","Como Leo, quero um copiloto que execute operações sobre meu backlog, não um chat que responde perguntas.",O corpus registra o Multi-Agent Blueprint como especificado mas com registries e agentes majoritariamente não populados; o contrato MCP Skill V2.1 está especificado sem implementação verificada; o dataset de evals tem 18 casos.,"Implementar o runtime de agentes contra o contrato de handoff tipado, expor /mcp, popular o registry, ampliar o dataset de evals e ligar o gate de 100% de aprovação.","Copiloto executa um comando real sobre o backlog, com handoff auditável e eval passando.","GATE-09: evals 100% verdes em datasets, adversarial e regression; um comando real do copiloto altera estado no banco com trilha de auditoria.",FASE-08,FASE-10,PLANNED
