edge_id,source,relation,target,weight,epistemic_class,evidence_ref,status,notes
EDGE-0001,CORE-PERSON,pursues,CORE-OBJECTIVE,3,D,TP-001 framework,DEFINED,
EDGE-0002,CORE-SITUATION,has_actor,CORE-PERSON,3,D,RC-SCAN,DEFINED,
EDGE-0003,CORE-SITUATION,has_objective,CORE-OBJECTIVE,3,D,RC-SCAN,DEFINED,
EDGE-0004,CORE-SITUATION,occurs_in,ENV-PHYSICAL,2,E,Modelagem do mapa,DEFINED,
EDGE-0005,CORE-SITUATION,occurs_in,ENV-SOCIAL,2,E,Modelagem do mapa,DEFINED,
EDGE-0006,CORE-SITUATION,occurs_in,ENV-DIGITAL,2,E,Modelagem do mapa,DEFINED,
EDGE-0007,CORE-SITUATION,occurs_in,ENV-TEMPORAL,2,E,Modelagem do mapa,DEFINED,
EDGE-0008,ENV-PHYSICAL,stimulates_or_constrains,S1,2,E,Modelagem contextual,DEFINED,
EDGE-0009,ENV-PHYSICAL,stimulates_or_constrains,S2,2,E,Modelagem contextual,DEFINED,
EDGE-0010,ENV-PHYSICAL,stimulates_or_constrains,S4,2,E,Modelagem contextual,DEFINED,
EDGE-0011,ENV-SOCIAL,stimulates_or_constrains,S2,2,E,Modelagem contextual,DEFINED,
EDGE-0012,ENV-SOCIAL,stimulates_or_constrains,S6,2,E,Modelagem contextual,DEFINED,
EDGE-0013,ENV-SOCIAL,stimulates_or_constrains,S7,2,E,Modelagem contextual,DEFINED,
EDGE-0014,ENV-DIGITAL,stimulates_or_constrains,S1,2,E,Modelagem contextual,DEFINED,
EDGE-0015,ENV-DIGITAL,stimulates_or_constrains,S2,2,E,Modelagem contextual,DEFINED,
EDGE-0016,ENV-DIGITAL,stimulates_or_constrains,S8,2,E,Modelagem contextual,DEFINED,
EDGE-0017,ENV-TEMPORAL,stimulates_or_constrains,S3,2,E,Modelagem contextual,DEFINED,
EDGE-0018,ENV-TEMPORAL,stimulates_or_constrains,S6,2,E,Modelagem contextual,DEFINED,
EDGE-0019,S1,mobilizes,COG-M1,2,E,Modelagem cognitiva,DEFINED,
