id,label,type,layer,group,epistemic_class,status,source_ref,notes
CORE-PERSON,Pessoa,core,CENTER,Centro,D,DEFINED,TP-001 framework,
CORE-OBJECTIVE,Objetivo,core,CENTER,Centro,D,DEFINED,TP-001 framework,
CORE-SITUATION,Situação / execução concreta,core,CENTER,Centro,D,DEFINED,RC-SCAN,
ENV-PHYSICAL,Ambiente físico,environment,R1,Ambiente,E,MODELLED,Modelagem do mapa,
ENV-SOCIAL,Ambiente social,environment,R1,Ambiente,E,MODELLED,Modelagem do mapa,
ENV-DIGITAL,Ambiente digital,environment,R1,Ambiente,E,MODELLED,Modelagem do mapa,
ENV-TEMPORAL,Ambiente temporal,environment,R1,Ambiente,E,MODELLED,Modelagem do mapa,
S1,Visual / Informacional,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S2,Auditivo / Interrupção,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S3,Temporal,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S4,Espacial / Ambiental,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S5,Memória / Executivo,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S6,Decisão / Ação,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S7,Processo / Relações,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
S8,Digital / Sistêmico,operational_sense,R2,Sentidos Operacionais,D,DEFINED,RC-SCAN-QUESTION-CATALOG-V1,
STATE-STRESS,Estresse,emotion_state,R3,Emoção / Estado,E,MODELLED,Modelagem do mapa,Modulador transversal; não é diagnóstico.
STATE-FATIGUE,Fadiga,emotion_state,R3,Emoção / Estado,E,MODELLED,Modelagem do mapa,Modulador transversal; não é diagnóstico.
STATE-MOTIVATION,Motivação,emotion_state,R3,Emoção / Estado,E,MODELLED,Modelagem do mapa,Modulador transversal; não é diagnóstico.
STATE-AROUSAL,Ativação,emotion_state,R3,Emoção / Estado,E,MODELLED,Modelagem do mapa,Modulador transversal; não é diagnóstico.
STATE-THREAT,Ameaça / segurança percebida,emotion_state,R3,Emoção / Estado,E,MODELLED,Modelagem do mapa,Modulador transversal; não é diagnóstico.
STATE-MOOD,Humor / valência,emotion_state,R3,Emoção / Estado,E,MODELLED,Modelagem do mapa,Modulador transversal; não é diagnóstico.
COG-M1,Entrada & Percepção,cognitive_macro,R4,Cognição,E,MODELLED,Taxonomia funcional do mapa,
COG-M1-F01,Percepção,cognitive_function,R4,Entrada & Percepção,E,MODELLED,Taxonomia funcional do mapa,
COG-M1-F02,Reconhecimento,cognitive_function,R4,Entrada & Percepção,E,MODELLED,Taxonomia funcional do mapa,
COG-M1-F03,Velocidade de processamento,cognitive_function,R4,Entrada & Percepção,E,MODELLED,Taxonomia funcional do mapa,
COG-M2,Atenção & Seleção,cognitive_macro,R4,Cognição,E,MODELLED,Taxonomia funcional do mapa,
COG-M2-F01,Atenção seletiva,cognitive_function,R4,Atenção & Seleção,E,MODELLED,Taxonomia funcional do mapa,
COG-M2-F02,Atenção sustentada,cognitive_function,R4,Atenção & Seleção,E,MODELLED,Taxonomia funcional do mapa,
COG-M2-F03,Atenção alternada,cognitive_function,R4,Atenção & Seleção,E,MODELLED,Taxonomia funcional do mapa,
COG-M2-F04,Orientação,cognitive_function,R4,Atenção & Seleção,E,MODELLED,Taxonomia funcional do mapa,
COG-M2-F05,Controle atencional,cognitive_function,R4,Atenção & Seleção,E,MODELLED,Taxonomia funcional do mapa,
COG-M3,Memória & Aprendizagem,cognitive_macro,R4,Cognição,E,MODELLED,Taxonomia funcional do mapa,
COG-M3-F01,Memória de trabalho,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
COG-M3-F02,Memória episódica,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
COG-M3-F03,Memória semântica,cognitive_function,R4,Memória & Aprendizagem,E,MODELLED,Taxonomia funcional do mapa,
