var,owner,layer,scope,required,prefix,format,build_blocking,consumed_by,validator
DATABASE_URL,database,package,server,YES,,url,YES,api|app,z.url()
NEXT_PUBLIC_APP_URL,next-config,package,client,YES,,url,YES,api|app|web,z.url()
NEXT_PUBLIC_WEB_URL,next-config,package,client,YES,,url,YES,api|app|web,z.url()
ANALYZE,next-config,package,server,NO,,string,NO,api|app|web,z.string().optional()
ARCJET_KEY,security,package,server,NO,ajkey_,string,YES_IF_SET_WRONG,app|web,"z.string().startsWith(""ajkey_"").optional()"
BETTERSTACK_API_KEY,observability,package,server,NO,,string,NO,api|app|web,z.string().optional()
BETTERSTACK_URL,observability,package,server,NO,,url,YES_IF_SET_WRONG,api|app|web,z.url().optional()
BLOB_READ_WRITE_TOKEN,storage,package,server,NO,,string,NO,-,z.string().optional()
CLERK_SECRET_KEY,auth,package,server,NO,sk_,string,YES_IF_SET_WRONG,api|app,"z.string().startsWith(""sk_"").optional()"
CLERK_WEBHOOK_SECRET,auth,package,server,NO,whsec_,string,YES_IF_SET_WRONG,api|app,"z.string().startsWith(""whsec_"").optional()"
CRON_SECRET,api,app,server,NO,,string,NO,api,z.string().min(1).optional()
FLAGS_SECRET,feature-flags,package,server,NO,,string,NO,app|web,z.string().optional()
GMAIL_CLIENT_ID,integrations,package,server,NO,,string,NO,api,z.string().min(1).optional()
GMAIL_CLIENT_SECRET,integrations,package,server,NO,,string,NO,api,z.string().min(1).optional()
GMAIL_REDIRECT_URI,integrations,package,server,NO,,string,NO,api,z.string().min(1).optional()
GOOGLE_PUBSUB_AUDIENCE,integrations,package,server,NO,,string,NO,api,z.string().min(1).optional()
INTEGRATIONS_ENCRYPTION_KEY,integrations,package,server,NO,,string,NO,api,z.string().min(1).optional()
KNOCK_PUSH_CHANNEL_ID,notifications,package,server,NO,,string,NO,app,z.string().optional()
KNOCK_SECRET_API_KEY,notifications,package,server,NO,,string,NO,app,z.string().optional()
LIVEBLOCKS_SECRET,collaboration,package,server,NO,sk_,string,YES_IF_SET_WRONG,app,"z.string().startsWith(""sk_"").optional()"
NEXT_PUBLIC_API_URL,next-config,package,client,NO,,url,YES_IF_SET_WRONG,api|app|web,z.url().optional()
NEXT_PUBLIC_CLERK_AFTER_SIGN_IN_URL,auth,package,client,NO,/,string,YES_IF_SET_WRONG,api|app,"z .string() .startsWith(""/"") .optional()"
NEXT_PUBLIC_CLERK_AFTER_SIGN_UP_URL,auth,package,client,NO,/,string,YES_IF_SET_WRONG,api|app,"z .string() .startsWith(""/"") .optional()"
