factor_id,factor_name,conceptual_solution,technology_solution,placeholder,engine,solution_status,scanner_v1_eligible,preventive_control_id,preventive_control,detective_control_id,detective_control,corrective_control_id,corrective_control,action,metrics,claim_ids,evidence_status,source_ref
FRC-01,Tailoring do projeto,"Adaptar rigor, artefatos, controles e processos ao contexto e complexidade.",Tailoring Engine,Scanner + Runbook + Template,CONTROL,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-02,Perfil cognitivo do executor,Mapear demandas da tarefa sem diagnosticar pessoas.,Cognitive Demand Mapper,Scanner + Mapa,SCAN,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-03,Quantidade de informação,"Filtragem, progressive disclosure, agrupamento e foco no necessário para a ação atual.",Cognitive Content Converter,Conversor Custo Cognitivo + Callouts,CONVERT,CATALOG_AUTHORIZED,YES,CTRL-FRC03-P,Progressive disclosure + filtragem contextual — Mostrar prioritariamente apenas informação necessária à ação atual.,CTRL-FRC03-D,"Detectar busca/releitura excessiva — Sinais: muitas consultas, releitura, procura repetida, comparação manual, abandono da leitura.",CTRL-FRC03-C,Converter conteúdo para visão reduzida e hierarquizada — Documento completo → Essencial agora → Ações → Evidências → Detalhes.,Converter o conteúdo para uma visão hierarquizada orientada à ação.,tempo até localizar informação necessária | quantidade de releituras | número de consultas ao documento | next_action_identified,CLAIM-02 | CLAIM-03,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-04,Forma e visualização da informação,"Reduzir clutter, estabelecer hierarquia e distinguir prioridade.",Cognitive View Engine,Callouts + Obsidian Reader + Conversor,CONVERT,CATALOG_AUTHORIZED,YES,CTRL-FRC04-P,Hierarquia informacional pré-definida — Prioridade → agrupamento semântico → contraste funcional → whitespace → progressive disclosure.,CTRL-FRC04-D,Detectar competição visual — Identificar telas/documentos em que elementos secundários competem com o principal.,CTRL-FRC04-C,Re-renderizar conteúdo — Conteúdo plano → título → decisão → ação → evidência → detalhe.,Aplicar uma estrutura visual hierarquizada ao mesmo conteúdo.,tempo para encontrar informação crítica | cliques/rolagem até a ação | erros de localização | escolha correta do próximo passo,CLAIM-03,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-05,Task switching,"Batching, blocos protegidos e pontos explícitos de retomada.",Resume Point Engine,EXECUTAR + Protocolo de Retomada,FOCUS,CATALOG_AUTHORIZED,YES,CTRL-FRC05-P,Batching + proteção do bloco ativo — Manter 1 prioridade ativa e capturar externamente interrupções não urgentes.,CTRL-FRC05-D,"Registrar trocas de contexto — Sinais: app_changed, task_changed, interruption_received, resume_required.",CTRL-FRC05-C,"Oferecer ponto explícito de retomada — Registrar onde parou, última decisão, próximo passo e contexto necessário.",Criar um Resume Point antes de abandonar uma tarefa importante.,número de switches | tempo para retomar | releitura após interrupção | tarefas abandonadas após troca,CLAIM-06 | CLAIM-07,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-06,Decomposição de tarefas,Decompor objetivos em caminhos curtos com próxima ação explícita.,Task Decomposer,Conversor + Workflow + Checklist,CONVERT,CATALOG_AUTHORIZED,YES,CTRL-FRC06-P,Decompor antes da execução — Objetivo → Entregável → Etapa → Próxima ação.,CTRL-FRC06-D,"Detectar objetivo sem primeira ação — Sinais: não sei começar, tarefa grande demais, várias operações dentro da mesma tarefa.",CTRL-FRC06-C,Pausar e decompor — Interromper tentativa de execução e decompor o trabalho.,Perguntar: qual é a menor ação observável que faz este objetivo avançar?,tempo entre selecionar e iniciar | objetivos sem próxima ação | etapas concluídas | abandono antes da primeira ação,CLAIM-05,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-07,Clareza e escrita da tarefa,"Explicitar início, processo, recursos, próximo passo e critério de conclusão.",TaskLint,Conversor de Tarefas + Template,CONVERT,CATALOG_AUTHORIZED,YES,CTRL-FRC07-P,Validar tarefa antes da fila — Ação + objeto + resultado + contexto + critério de conclusão.,CTRL-FRC07-D,"Detectar tarefas vagas — Exemplos: organizar projeto, ver relatório, resolver apresentação, trabalhar marketing.",CTRL-FRC07-C,Reescrever tarefa antes da execução — Transformar intenção vaga em ação verificável e critério de pronto.,"Reescrever a tarefa para explicitar ação, resultado, contexto e critério de conclusão.",time_to_first_action | número de reinterpretações | tarefas devolvidas por ambiguidade | percentual de tarefas com critério de pronto,CLAIM-04,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-08,Agrupamento e chunking,Transformar elementos relacionados em unidades significativas.,Cognitive Chunker,Mapa + Template,CONVERT,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
FRC-09,Dependências e cadeia de valor,"Externalizar pré-requisitos, sequência, estado e próximo passo.",Dependency Mapper,Mapa + Workflow + EXECUTAR,MAP,CATALOG_AUTHORIZED,YES,CTRL-FRC09-P,"Tornar dependências explícitas — Cada atividade declara depende_de, desbloqueia, estado e responsável.",CTRL-FRC09-D,"Detectar início com pré-requisito incompleto — Sinais: bloqueio tardio, espera, retrabalho, tarefa começada cedo demais.",CTRL-FRC09-C,"Pausar, identificar predecessor e reordenar — Converter lista de tarefas em grafo de execução.",Converter a lista de tarefas em grafo de dependências e estados.,bloqueios descobertos após início | retrabalho por dependência | tempo parado | percentual de tarefas READY executadas sem bloqueio,CLAIM-04 | CLAIM-05,AUTHORIZED_EVIDENCE_CHAIN,RC-KNW-001 · RC-SCAN-INTERVENTION-CATALOG-V1
FRC-10,Externalização cognitiva,Transferir memória de estados e intenções para objetos ou sistemas externos.,External Memory Layer,Checklist + EXECUTAR + Prisma,REMEMBER,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,NO,,,,,,,,,,SOURCE_CONCEPTUAL_ONLY,RC-KNW-001 · TP-001.FACTOR_SOLUTION_MATRIX.V1
