gate_id,phase_id,fase,criterio,parada_obrigatoria,auto_pr,registro
GATE-00,PLAN-EXEC-1409-F00,FASE-00,GATE-00: `gh secret list` retorna os 7 secrets obrigatórios; `gh variable list` retorna as 3 variables; DECISION_LOG.md contém DEC-001..DEC-003 resolvidas.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-01,PLAN-EXEC-1409-F01,FASE-01,GATE-01: os 3 projetos com latestDeployment.readyState=READY e target=production; `/health` da api responde 200 sem SSO; preflight falha com mensagem nominal quando uma var obrigatória some.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-02,PLAN-EXEC-1409-F02,FASE-02,GATE-02: PLAN/state.json válido contra PLAN/schema.json; GATE_LOG.md com entrada de GATE-00 e GATE-01; runner documentado no README.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-03,PLAN-EXEC-1409-F03,FASE-03,GATE-03: toda tarefa do CSV tem issue Linear correspondente; encerrar uma fase move a issue para Done automaticamente; Leo confirma visualmente no app.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-04,PLAN-EXEC-1409-F04,FASE-04,GATE-04: domínio resolve nos 3 apps; SSO desligado; entrega real de webhook Clerk registrada em log da api (não só self-test local).,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-05,PLAN-EXEC-1409-F05,FASE-05,GATE-05: `bun run test` com DATABASE_URL exportado reporta 89 testes RLS passando; preview-db.yml verde em um PR real.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-06,PLAN-EXEC-1409-F06,FASE-06,"GATE-06: um checkout test-mode completo ponta a ponta; se KYC aprovado na fase 0, um checkout live de valor mínimo; export e delete LGPD executados contra workspace real.",YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-07,PLAN-EXEC-1409-F07,FASE-07,GATE-07: todas as rotas de apps/web respondem 200 no domínio próprio; Lighthouse ≥ 90 em performance e acessibilidade na home; sitemap.xml válido.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-08,PLAN-EXEC-1409-F08,FASE-08,GATE-08: Playwright autenticado cobre a jornada núcleo ponta a ponta contra a URL real; Mapa OS renderiza e imprime a partir de dados reais.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-09,PLAN-EXEC-1409-F09,FASE-09,"GATE-09: evals 100% verdes em datasets, adversarial e regression; um comando real do copiloto altera estado no banco com trilha de auditoria.",YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-10,PLAN-EXEC-1409-F10,FASE-10,GATE-10: webhook de cada canal autorizado entrega 200 com assinatura válida; scanner dispatch + undo testados; rotina diária executa e registra evidência.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-11,PLAN-EXEC-1409-F11,FASE-11,GATE-11: EAS build de produção com sucesso para iOS e Android; submissão aceita (status 'Waiting for Review' / 'In review'); nenhum campo de formulário preenchido por Leo.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
GATE-12,PLAN-EXEC-1409-F12,FASE-12,GATE-12: smoke sequence §10 do LAUNCH_RUNBOOK executada e registrada; build e E2E bloqueantes no ci.yml; rollback testado uma vez; Leo aprova o corte.,YES,YES,GATE_LOG.md + PLAN/state.json + issue Linear
